Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
,,,,,
,产品分类,产品,产品明细,产品描述,产品特点
,感知类产品PERCEPTION,温度传感器               Temperature Sensor,水温传感器          ,水温传感器用于监测汽车发动机冷却系统或新能源车电池包冷却水管路内冷却液或冷却水的温度，冷却系统控制模块接收信号并使用控制回路控制调控，提升系统效率。,"1.多种安装方式可选（快插、集成管路、螺纹螺栓等）
2.更快的响应时间，最快可实现＜3s；
3.R-T曲线可定制化;
4.IP67及IP69K的防护性能；"
,,,Water Temperature Sensor,"The water temperature sensor is used to monitor the temperature of the coolant or cooling water in the automotive engine cooling system or the cooling water pipes of the battery pack in new energy vehicles. The cooling system control module receives the signal and uses a control loop to regulate it, improving system efficiency.",1. Core Features: Self-made NTC resistor for accurate measurement.    2. Response time <3s.                                                                                  3. Customizable R-T curve.                                                                            4. IP67/IP69K protection.
,,,空气温度传感器,空气温度传感器主要应用于检测车辆外部、乘员舱、空调系统风管等的环境温度，信号用于配合车辆空调系统进行温度调控，提高舒适性。,"1.带风扇的主动式吸风方案可选；
2.R-T曲线可定制化；
3.密封接插件可选；"
,,,Temperature sensor,"The air temperature sensor is mainly used to detect the ambient temperature outside the vehicle, in the passenger compartment, and in the air conditioning system ducts. The signal is used by the vehicle's air conditioning system for temperature control, enhancing comfort.","1. Active air intake solution with a fan is optional.
2. R-T curve can be customized.
3. Sealed connectors are optional."
,,,冷媒传感器,冷媒温度传感器测量HVAC管路高压侧和低压侧的制冷剂介质温度，车辆控制模块通过信号来最大限度地提高暖风、通风与空调系统的性能。,"1.更小的外形尺寸；
2.更快的响应时间，最快可实现＜3s；
3.R-T曲线可定制化;
4.IP67及IP69K的防护性能；"
,,,Refrigerant Temperature Sensor,"The refrigerant temperature sensor measures the temperature of the refrigerant medium on the high-pressure and low-pressure sides of the HVAC piping. The vehicle control module uses this signal to maximize the performance of the heating, ventilation, and air conditioning system.","1. Smaller form factor.
2. Faster response time, as fast as <3s.
3. Customizable R-T curve.
4. IP67 and IP69K protection ratings."
,,温湿度传感器 Temperature and Humidity Sensor   ,温湿度传感器, 温湿度传感器安装在前风挡玻璃后视镜支架之间，用于检测车内环境温度、湿度和前档玻璃内表面温度，进行前档玻璃的防雾检测功能。,"1、可检测前挡风玻璃的温度、湿度及露点温度等信号；
2、支持多种信号传输方式，如LIN/PWM/IIC等；
3、便携式的安装结构，便携式安装和更换；
4、更小的外形尺寸；
5、高精度的温度（±1℃）输出和湿度（±3%RH）输出；"
,,,Temperature and Humidity Sensor,"The temperature and humidity sensor is installed between the front windshield and the rearview mirror bracket. It is used to detect the cabin's ambient temperature and humidity, as well as the inner surface temperature of the windshield, enabling the anti-fog detection function for the front windshield.","1. Capable of detecting signals such as the temperature, humidity, and dew point temperature of the front windshield.
2. Supports multiple signal transmission methods, such as LIN/PWM/IIC, etc.
3. Portable mounting structure for easy installation and replacement.
4. Smaller form factor.
5. High-precision temperature (±1°C) and humidity (±3% RH) output."
