产品分类,产品,产品明细,产品描述,产品特点
感知类产品,温度传感器,水温传感器,水温传感器用于监测汽车发动机冷却系统或新能源车电池包冷却水管路内冷却液或冷却水的温度，冷却系统控制模块接收信号并使用控制回路控制调控，提升系统效率。,"1.多种安装方式可选（快插、集成管路、螺纹螺栓等）
2.更快的响应时间，最快可实现＜3s；
3.R-T曲线可定制化;
4.IP67及IP69K的防护性能；"
,,空气温度传感器,空气温度传感器主要应用于检测车辆外部、乘员舱、空调系统风管等的环境温度，信号用于配合车辆空调系统进行温度调控，提高舒适性。,"1.带风扇的主动式吸风方案可选；
2.R-T曲线可定制化；
3.密封接插件可选；"
,,冷媒传感器,冷媒温度传感器测量HVAC管路高压侧和低压侧的制冷剂介质温度，车辆控制模块通过信号来最大限度地提高暖风、通风与空调系统的性能。,"1.更小的外形尺寸；
2.更快的响应时间，最快可实现＜3s；
3.R-T曲线可定制化;
4.IP67及IP69K的防护性能；"
,温湿度传感器,温湿度传感器, 温湿度传感器安装在前风挡玻璃后视镜支架之间，用于检测车内环境温度、湿度和前档玻璃内表面温度，进行前档玻璃的防雾检测功能。,"1、可检测前挡风玻璃的温度、湿度及露点温度等信号；
2、支持多种信号传输方式，如LIN/PWM/IIC等；
3、便携式的安装结构，便携式安装和更换；
4、更小的外形尺寸；
5、高精度的温度（±1℃）输出和湿度（±3%RH）输出；"
,PM2.5传感器,单通道PM2.5传感器,主要用于检测不同颗粒物浓度（PM2.5/PM10），可以将检测的颗粒浓度通过总线传送给空调系统，由空调系统开启对应的净化设备，从而实现空气净化功能。可通过多参数融合算法，全面评估座舱空气健康状态，为智能座舱提供数据支撑，实现自动通风、净化与空调调节联动,"1、采用激光光源与高灵敏度光电探测器，精准识别0.3μm以上颗粒物，符合车规级测量标准。
2、快速响应，采样响应时间 ≤ 10秒，实时反馈车内空气质量变化
3、符合车规级设计，工作温度范围 -20℃ ~ +85℃，抗振动、耐高低温，满足汽车电子可靠性要求。
4、低功耗运行，典型功耗 < 150mW，适配12V车载电源系统。
5、支持整车LIN2.X、CAN、UART（TTL电平）或PWM输出，便于与智能空调或车机联动。
6、内置气流导向设计，延长使用寿命，减少维护需求。"
,,多功能PM2.5传感器,"主要用于检测不同颗粒物浓度，如PM2.5/PM10的检测，可以将检测的颗粒浓度通过总线传送给空调系统，由空调系统开启对应的净化设备，从而实现空气净化功能；同时可扩展CO2气体检测功能、空气质量指数检测（AQS，基于TVOC/NO2/NH3/CO等）、环境温度与相对湿度检测于一体的多合一的汽车清风系统气体传感器
。可通过多参数融合算法，全面评估座舱空气健康状态，为智能座舱提供数据支撑，实现自动通风、净化与空调调节联动","1、五合一传感集成：
　- PM2.5（车内外双通道+激光散射）
　- CO₂（NDIR红外原理，量程400–10000ppm）
　- AQS（金属氧化物半导体，感知TVOC/NO2/NH3/CO/硫化物）
　- 温度（±0.3℃精度）
　- 湿度（±2%RH精度）
2、可内置多参数融合算法，输出综合AQS等级（优/良/差），通过智能空气质量评估，提示用户是否需要开启净化或外循环。
3、符合AEC-Q100标准，EMC/ESD防护强，适应复杂车载电磁环境
4、低功耗 & 小体积，整机功耗 < 300mW。
5、支持整车LIN2.X、CAN、UART（TTL电平）或PWM输出，便于与智能空调或车机联动
6、统一UDS诊断服务，并支持OTA升级"
,雨量传感器,3合1雨量传感器,雨量传感器用于汽车自动雨刷、灯光、自动空调、除雾功能;同时也为HUD提供光线亮度、雨天自动关窗功能。使驾驶员免除手动操作雨刷、灯光、空调调节、除雾等麻烦，有效地提高了各种环境行车的安全性和驾驶舒适度,"1、支持LIN2.X及SAEJ260协议，与整车通过LIN进行信号交互；
2、具备自动雨刮、自动阳光、自动大灯控制等功能可选；
3、雨量功能的感应面积≥120mm2
4、宽角度的光学检测范围，以及高精度的信号输出
5、支持雨天关窗、冬季模式、防误刮检查、功能安全策略等功能
6、定制Bootloader，支持OTA升级"
,,5合1雨量传感器,,"1、支持LIN2.X及SAEJ260协议，与整车通过LIN进行信号交互；
2、具备自动雨刮、自动阳光、自动大灯控制，防雾调节、HUD控制等功能可选；
3、雨量功能的感应面积≥120mm2
4、宽角度的光学检测范围，以及高精度的信号输出
5、支持雨天关窗、冬季模式、防误刮检查、功能安全策略等功能
6、定制Bootloader，支持OTA升级"
,阳光光线传感器,阳光光线传感器,阳光光线传感器主要用于检测入射到驾驶舱的阳光强度以及车外环境光的亮度，并将信号发送给空调控制器进行温度补偿，控制空调出风口风量大小，以及将信号给整车进行自动大灯的控制,"1、激光可调节，产品输出精度和一致性高；
2、宽角度的检测范围10°~170°；
3、过滤光谱，避免杂光干扰；
4、集成温度补偿功能，降低温漂；
5、便携式安装和更换；
6、模块化设计，变型开发快，功能可扩展；"
,座椅传感器,座椅位置传感器,        一种安装在座椅导轨上的位置传感器，能够通过霍尔开关芯片检测座椅在移动时的磁感应强度变化，来反馈座椅的位置，最后反馈到安全气囊控制单元，并通过控制单元的反馈，来实现不同的档位的爆破程度。,"1.高灵敏度磁场检测，误差率低至±0.5%，提升设备定位精度；
2.提供电流信号输出，减少模拟信号处理的复杂性；
3.高度可调的设计实现了Z向的安装灵活性，使其适用于不同的车型；"
